Designator,Mid X,Mid Y,Rotation,Layer
U1_4,61.925,-33.01,0.0,top
U1_3,14.925,-91.01,0.0,top
U1_2,14.925,-33.01,0.0,top
U1,61.925,-91.01,0.0,top
U2_6,11.63,-26.2,0.0,top
U2_5,58.63,-84.2,0.0,top
U2_4,35.13,-26.2,0.0,top
U2_3,35.13,-84.2,0.0,top
U2_2,11.63,-84.2,0.0,top
U2,58.63,-26.2,0.0,top
U3_6,18.92,-18.54,90.0,top
U3_5,42.42,-76.54,90.0,top
U3_4,42.42,-18.54,90.0,top
U3_3,65.92,-18.54,90.0,top
U3_2,65.92,-76.54,90.0,top
U3,18.92,-76.54,90.0,top
Y1_6,36.21,-43.11,180.0,top
Y1_5,36.21,-101.11,180.0,top
Y1_4,59.71,-43.11,180.0,top
Y1_3,12.71,-101.11,180.0,top
Y1_2,59.71,-101.11,180.0,top
Y1,12.71,-43.11,180.0,top
